pack_id,card_id,answer,difficulty,tags,banned_tokens
daily_life_cn,daily_life_0001,牙刷,easy,family-safe|starter|daily-life,刷|牙|牙刷
daily_life_cn,daily_life_0002,牙膏,easy,family-safe|starter|daily-life,牙|牙膏|膏
daily_life_cn,daily_life_0003,毛巾,easy,family-safe|starter|daily-life,巾|毛|毛巾
daily_life_cn,daily_life_0004,水杯,easy,family-safe|starter|daily-life,杯|水|水杯
daily_life_cn,daily_life_0005,饭碗,easy,family-safe|starter|daily-life,碗|饭|饭碗
daily_life_cn,daily_life_0006,筷子,easy,family-safe|starter|daily-life,子|筷|筷子
daily_life_cn,daily_life_0007,勺子,easy,family-safe|starter|daily-life,勺|勺子|子
daily_life_cn,daily_life_0008,盘子,easy,family-safe|starter|daily-life,子|盘|盘子
daily_life_cn,daily_life_0009,杯垫,easy,family-safe|starter|daily-life,垫|杯|杯垫
daily_life_cn,daily_life_0010,餐巾纸,easy,family-safe|starter|daily-life,巾|纸|餐|餐巾纸
daily_life_cn,daily_life_0011,纸巾,easy,family-safe|starter|daily-life,巾|纸|纸巾
daily_life_cn,daily_life_0012,卷纸,easy,family-safe|starter|daily-life,卷|卷纸|纸
daily_life_cn,daily_life_0013,洗手液,easy,family-safe|starter|daily-life,手|洗|洗手液|液
daily_life_cn,daily_life_0014,香皂,easy,family-safe|starter|daily-life,皂|香|香皂
daily_life_cn,daily_life_0015,沐浴露,easy,family-safe|starter|daily-life,沐|沐浴露|浴|露
daily_life_cn,daily_life_0016,洗发水,easy,family-safe|starter|daily-life,发|水|洗|洗发水
daily_life_cn,daily_life_0017,护发素,easy,family-safe|starter|daily-life,发|护|护发素|素
daily_life_cn,daily_life_0018,梳子,easy,family-safe|starter|daily-life,子|梳|梳子
daily_life_cn,daily_life_0019,镜子,easy,family-safe|starter|daily-life,子|镜|镜子
daily_life_cn,daily_life_0020,吹风机,easy,family-safe|starter|daily-life,吹|吹风机|机|风
daily_life_cn,daily_life_0021,剃须刀,easy,family-safe|starter|daily-life,刀|剃|剃须刀|须
daily_life_cn,daily_life_0022,指甲剪,easy,family-safe|starter|daily-life,剪|指|指甲剪|甲
daily_life_cn,daily_life_0023,棉签,easy,family-safe|starter|daily-life,棉|棉签|签
daily_life_cn,daily_life_0024,创可贴,easy,family-safe|starter|daily-life,创|创可贴|可|贴
daily_life_cn,daily_life_0025,口罩,easy,family-safe|starter|daily-life,口|口罩|罩
daily_life_cn,daily_life_0026,雨伞,easy,family-safe|starter|daily-life,伞|雨|雨伞
daily_life_cn,daily_life_0027,雨衣,easy,family-safe|starter|daily-life,衣|雨|雨衣
daily_life_cn,daily_life_0028,太阳帽,easy,family-safe|starter|daily-life,太|太阳帽|帽|阳
daily_life_cn,daily_life_0029,帽子,easy,family-safe|starter|daily-life,子|帽|帽子
daily_life_cn,daily_life_0030,围巾,easy,family-safe|starter|daily-life,围|围巾|巾
daily_life_cn,daily_life_0031,手套,easy,family-safe|starter|daily-life,套|手|手套
daily_life_cn,daily_life_0032,袜子,easy,family-safe|starter|daily-life,子|袜|袜子
daily_life_cn,daily_life_0033,拖鞋,easy,family-safe|starter|daily-life,拖|拖鞋|鞋
daily_life_cn,daily_life_0034,运动鞋,easy,family-safe|starter|daily-life,动|运|运动鞋|鞋
daily_life_cn,daily_life_0035,皮鞋,easy,family-safe|starter|daily-life,皮|皮鞋|鞋
daily_life_cn,daily_life_0036,外套,easy,family-safe|starter|daily-life,外|外套|套
daily_life_cn,daily_life_0037,书包,easy,family-safe|starter|daily-life,书|书包|包
daily_life_cn,daily_life_0038,背包,easy,family-safe|starter|daily-life,包|背|背包
daily_life_cn,daily_life_0039,手提包,easy,family-safe|starter|daily-life,包|手|手提包|提
daily_life_cn,daily_life_0040,钱包,easy,family-safe|starter|daily-life,包|钱|钱包
daily_life_cn,daily_life_0041,钥匙,easy,family-safe|starter|daily-life,匙|钥|钥匙
daily_life_cn,daily_life_0042,钥匙扣,easy,family-safe|starter|daily-life,匙|扣|钥|钥匙扣
daily_life_cn,daily_life_0043,门铃,easy,family-safe|starter|daily-life,铃|门|门铃
daily_life_cn,daily_life_0044,门锁,easy,family-safe|starter|daily-life,锁|门|门锁
daily_life_cn,daily_life_0045,遥控器,easy,family-safe|starter|daily-life,器|控|遥|遥控器
daily_life_cn,daily_life_0046,手机,easy,family-safe|starter|daily-life,手|手机|机
